GOID	GO Term	Aspect	Query Count	Query Total	Query %	Background Count	Background Total	Background %	Fold Enrichment	P-value	FDR	Genes
GO:0051701	biological process involved in interaction with host	Biological Process	3	20	15.00%	128	6672	1.9185%	7.82	6.19e-03	7.41e-03	ALS3, SOD5, HYR1
GO:0035821	modulation of process of another organism	Biological Process	2	20	10.00%	43	6672	0.6445%	15.52	7.16e-03	8.24e-03	ALS3, SOD5
GO:0044003	symbiont-mediated perturbation of host process	Biological Process	2	20	10.00%	43	6672	0.6445%	15.52	7.16e-03	8.24e-03	ALS3, SOD5
GO:0016192	vesicle-mediated transport	Biological Process	3	20	15.00%	137	6672	2.0534%	7.31	7.48e-03	8.44e-03	ALS3, SEC23, SEC24
GO:0007163	establishment or maintenance of cell polarity	Biological Process	2	20	10.00%	47	6672	0.7044%	14.20	8.51e-03	9.44e-03	CDC12, CDC11
GO:0044182	filamentous growth of a population of unicellular organisms	Biological Process	5	20	25.00%	447	6672	6.6996%	3.73	8.83e-03	9.61e-03	CDC11, ALS3, YVC1, PMT2, PMT4
GO:0098655	monoatomic cation transmembrane transport	Biological Process	2	20	10.00%	49	6672	0.7344%	13.62	9.23e-03	9.72e-03	ALS3, CSA2
GO:0044403	biological process involved in symbiotic interaction	Biological Process	3	20	15.00%	148	6672	2.2182%	6.76	9.24e-03	9.72e-03	ALS3, SOD5, HYR1
GO:0030001	metal ion transport	Biological Process	2	20	10.00%	50	6672	0.7494%	13.34	9.59e-03	9.75e-03	ALS3, CSA2
GO:0070783	growth of unicellular organism as a thread of attached cells	Biological Process	2	20	10.00%	50	6672	0.7494%	13.34	9.59e-03	9.75e-03	CDC11, YVC1
GO:0034220	monoatomic ion transmembrane transport	Biological Process	2	20	10.00%	51	6672	0.7644%	13.08	9.97e-03	9.97e-03	ALS3, CSA2
